"id","loginName","fullName","role","email","zoneName","initialPassword","mustChangePassword"
"20","importaciones","Importaciones","coordinator","importaciones@hdm.local",,"Importaciones#2026!","True"
"18","vendedor01","Vendedor 01","seller","vendedor01@hdm.local","Amazonia","Vendedor01#2026!","True"
"21","vendedor02","Vendedor 02","seller","vendedor02@hdm.local","Costa","Vendedor02#2026!","True"
"22","vendedor03","Vendedor 03","seller","vendedor03@hdm.local","Nacional","Vendedor03#2026!","True"
"23","vendedor04","Vendedor 04","seller","vendedor04@hdm.local","Sierra","Vendedor04#2026!","True"
"24","vendedor05","Vendedor 05","seller","vendedor05@hdm.local","Amazonia","Vendedor05#2026!","True"
"25","vendedor06","Vendedor 06","seller","vendedor06@hdm.local","Costa","Vendedor06#2026!","True"
"26","vendedor07","Vendedor 07","seller","vendedor07@hdm.local","Nacional","Vendedor07#2026!","True"
"27","vendedor08","Vendedor 08","seller","vendedor08@hdm.local","Sierra","Vendedor08#2026!","True"
"28","vendedor09","Vendedor 09","seller","vendedor09@hdm.local","Amazonia","Vendedor09#2026!","True"
"29","vendedor10","Vendedor 10","seller","vendedor10@hdm.local","Costa","Vendedor10#2026!","True"
